code,date,open,high,low,close,volume
0010,17/03/10,1554.20,1574.87,1544.89,1574.01,8473100000
0010,17/03/03,1537.75,1575.21,1525.16,1558.05,9743800000
0010,17/02/24,1540.04,1559.51,1535.92,1550.14,9274500000
0010,17/02/17,1558.72,1559.22,1537.73,1544.54,10147000000
0010,17/02/10,1528.89,1547.59,1509.20,1546.56,9310100000
0010,17/02/03,1542.62,1543.99,1507.08,1514.99,9807500000
0010,17/01/27,1519.27,1553.28,1504.31,1549.25,9826000000
0010,17/01/20,1540.64,1543.72,1495.03,1533.46,9044200000
0010,17/01/13,1550.67,1557.67,1528.50,1544.89,7446200000
0010,17/01/06,1533.04,1558.45,1532.56,1553.32,6284000000
0010,16/12/30,1540.98,1544.83,1508.01,1518.61,8419900000
0010,16/12/22,1546.09,1558.75,1535.82,1543.82,7641000000
0010,16/12/16,1537.90,1555.04,1520.23,1550.67,11948300000
0010,16/12/09,1470.42,1526.97,1462.07,1525.36,12810500000
0010,16/12/02,1457.89,1498.74,1456.76,1477.98,12467600000
0010,16/11/25,1435.49,1472.63,1433.06,1464.53,8891900000
0010,16/11/18,1386.96,1435.90,1385.97,1428.46,12660300000
0010,16/11/11,1363.89,1398.99,1287.39,1378.28,13827300000
0010,16/11/04,1387.32,1394.92,1337.62,1347.04,8261800000
0010,16/10/28,1366.62,1392.75,1361.51,1392.41,9088400000
0010,16/10/21,1346.24,1373.18,1344.46,1365.29,8298500000
0010,16/10/14,1353.90,1362.33,1337.15,1347.19,6666400000
0010,16/10/07,1332.14,1360.20,1329.06,1350.61,7995100000
0010,16/09/30,1347.14,1349.22,1313.77,1322.78,8989800000
0010,16/09/23,1305.17,1353.52,1304.75,1349.56,6347900000
0010,16/09/16,1325.33,1330.46,1296.39,1311.50,8273300000
0010,16/09/09,1357.01,1357.41,1337.36,1343.86,8645700000
0010,16/09/02,1309.17,1341.51,1307.88,1340.76,8743800000
0010,16/08/26,1300.35,1310.57,1287.90,1287.90,7208800000
0010,16/08/19,1319.07,1322.99,1288.60,1295.67,8239200000
0010,16/08/12,1295.61,1325.57,1294.23,1323.22,7483100000
0010,16/08/05,1308.30,1325.24,1262.86,1279.90,10784200000
0010,16/07/29,1330.59,1339.06,1288.88,1322.74,10921700000
0010,16/07/22,1326.06,1347.24,1316.38,1327.51,7472500000
0010,16/07/15,1231.26,1325.64,1231.07,1317.10,11906000000
0010,16/07/08,1248.50,1263.50,1209.88,1209.88,9052900000
0010,16/07/01,1216.70,1264.40,1198.57,1254.44,10744800000
0010,16/06/24,1269.81,1309.08,1192.80,1204.48,10447900000
0010,16/06/17,1307.97,1308.57,1238.37,1250.83,10397300000
0010,16/06/10,1317.33,1350.97,1311.96,1330.72,9042900000
0010,16/06/03,1359.48,1380.88,1329.53,1337.23,9866900000
0010,16/05/27,1337.55,1357.47,1319.62,1349.93,8552100000
0010,16/05/20,1318.15,1352.57,1317.14,1343.40,9984500000
0010,16/05/13,1308.11,1353.03,1302.90,1320.19,10789600000
0010,16/05/06,1316.57,1316.61,1289.01,1298.32,4636100000
0010,16/04/28,1412.80,1412.98,1339.28,1340.55,9770000000
0010,16/04/22,1334.49,1407.99,1313.35,1407.50,11663100000
0010,16/04/15,1281.64,1371.35,1263.25,1361.40,10708400000
0010,16/04/08,1296.78,1313.96,1250.77,1287.69,11066600000
0010,16/04/01,1375.16,1381.85,1298.48,1301.40,10312500000
0010,16/03/25,1359.99,1378.25,1348.88,1366.05,7429200000
0010,16/03/18,1375.61,1384.35,1335.34,1345.05,10477500000
0010,16/03/11,1373.78,1373.85,1322.14,1359.32,11757200000
0010,16/03/04,1325.63,1376.25,1284.50,1375.35,12604200000
0010,16/02/26,1281.74,1330.23,1266.69,1311.27,11126600000
0010,16/02/19,1220.14,1322.28,1219.78,1291.82,14198500000
0010,16/02/12,1351.69,1388.73,1193.85,1196.28,14464500000
0010,16/02/05,1448.04,1463.79,1352.92,1368.97,15895800000
0010,16/01/29,1393.87,1435.31,1357.54,1432.07,12977000000
0010,16/01/22,1376.24,1395.18,1301.49,1374.19,12759600000
0010,16/01/15,1429.52,1443.01,1382.37,1402.45,9823000000
0010,16/01/08,1532.53,1544.73,1441.05,1447.32,10952400000
0010,15/12/30,1521.60,1554.45,1518.79,1547.30,4624000000
0010,15/12/25,1526.42,1547.13,1512.00,1516.19,8230300000
0010,15/12/18,1521.51,1596.36,1502.55,1537.10,11472300000
0010,15/12/11,1588.76,1594.56,1533.79,1549.51,9893700000
0010,15/12/04,1593.00,1607.27,1569.06,1574.02,10325700000
0010,15/11/27,1601.35,1608.13,1590.21,1594.45,7789600000
0010,15/11/20,1559.34,1609.76,1557.75,1603.18,9897400000
0010,15/11/13,1575.83,1598.90,1570.88,1585.83,11039300000
0010,15/11/06,1539.44,1566.10,1523.34,1563.59,9356100000
0010,15/10/30,1566.61,1570.06,1537.36,1558.20,10823300000
0010,15/10/23,1505.16,1553.69,1489.11,1547.84,9748900000
0010,15/10/16,1506.99,1514.96,1462.74,1505.84,8761300000
0010,15/10/09,1461.02,1515.13,1453.84,1515.13,11524000000
0010,15/10/02,1447.16,1454.27,1371.44,1444.92,11510200000
0010,15/09/25,1443.21,1453.92,1423.13,1453.81,5014100000
