date,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2018/2/14,21251.24,21371.01,20950.15,21154.17,21860.6,22998.3,23120.5,22514.5,22491,1038.3,19883.3,20921.6,25075,26113.3,-94.5
2018/2/15,21384.1,21578.99,21308.92,21464.98,21634.4,22879.9,23078.2,22524.1,22479.7,1065.6,19683.1,20748.7,25011.1,26076.7,-94.4
2018/2/16,21555.99,21866.37,21499.88,21720.25,21514.1,22777.6,23042.4,22536.3,22471.5,1069.1,19570.4,20639.5,24915.7,25984.8,-92.6
2018/2/19,21903.66,22152.85,21858.33,22149.21,21581.5,22700.7,23020.5,22553.4,22468,1052.6,19543,20595.6,24805.8,25858.4,-89.2
2018/2/20,22054.32,22063.87,21831.45,21925.1,21616.5,22611.1,22991.5,22567.3,22462.2,1033.5,19510.5,20544,24678.2,25711.7,-84.3
2018/2/21,21942.42,22130.58,21836.73,21970.81,21626.5,22523.2,22967.6,22580.2,22457.1,1004,19511.3,20515.3,24531.1,25535.1,-77.8
2018/2/22,21789.88,21799.4,21626.85,21736.44,21670.7,22409.5,22937.3,22589.8,22449.6,947.2,19567.9,20515.1,24303.9,25251.1,-71.2
2018/2/23,21789.72,21903.39,21741.63,21892.78,21751.7,22312,22889.9,22600.3,22443.8,885,19656.9,20541.9,24082.1,24967.1,-62.2
2018/2/26,22134.64,22226.53,22040.87,22153.63,21876.6,22239.8,22844,22611.6,22440.9,828.8,19753.4,20582.2,23897.4,24726.2,-50.4
2018/2/27,22391.67,22502.05,22325.07,22389.86,21992.3,22180.6,22801,22624.3,22440.3,766.5,19881.2,20647.7,23713.5,24480,-36.8
2018/2/28,22292.53,22380.28,22068.24,22068.24,22035.8,22106.3,22750.4,22632.5,22436.6,690.9,20033.5,20724.5,23488.1,24179.1,-22.5
2018/3/1,21901.13,21901.13,21645.22,21724.47,21982.7,22031.7,22692,22636.6,22429.6,639.2,20114.2,20753.4,23310,23949.2,-11.6
2018/3/2,21339.98,21366.09,21088.96,21181.64,21889.7,21940.4,22619.3,22633.6,22417.3,615.6,20093.5,20709.1,23171.7,23787.3,-10.4
2018/3/5,21047.81,21164.38,20937.26,21042.09,21773.6,21824,22540.7,22628.9,22404,534.5,20220.5,20755,22893,23427.5,-10.4
2018/3/6,21390.2,21551.14,21381.42,21417.76,21733.8,21735.6,22466.2,22625.8,22394.5,424.9,20461,20885.9,22585.3,23010.2,-4.2
2018/3/7,21261.96,21484.08,21201.94,21252.72,21653.8,21667.5,22389.2,22619.6,22383.6,377.5,20535,20912.5,22422.5,22800,0.5
2018/3/8,21488.16,21488.16,21299.4,21368.07,21555.6,21656,22318.8,22615.8,22374,383,20507,20890,22422,22805,-9.5
2018/3/9,21594.22,21884.45,21357.55,21469.2,21440.5,21647.6,22250,22612.7,22365.6,385.2,20492.1,20877.2,22418,22803.1,-12.2
2018/3/12,21826.1,21971.16,21689.97,21824.03,21410,21644.4,22191.4,22610.7,22360.6,383.3,20494.4,20877.7,22411.1,22794.4,-4
2018/3/13,21742.45,21968.1,21700.78,21968.1,21440.5,21672.3,22128,22610.2,22357,384.6,20518.4,20903,22441.6,22826.2,-3.1
