date,open,high,low,close,volume,adj.close,sma 8,sma 25,sma 90,stddev,-3s,-2s,+2s,+3s,RCI
2017-07-25,1000,1003,958,960,295700,960,916.8,851.6,755.8,56.3,682.7,739.0,964.2,1020.5,59.8
2017-07-26,987,1110,981,1110,1140500,1110,951.4,862.8,759.6,76.2,634.3,710.5,1015.1,1091.3,68.2
2017-07-27,1140,1375,1130,1250,6517500,1250,1001.8,879.9,764.7,108.1,555.6,663.7,1096.1,1204.2,74.5
2017-07-28,1300,1329,1200,1227,2075000,1227,1041.8,896.0,769.7,127.7,512.9,640.6,1151.4,1279.1,80.0
2017-07-31,1305,1350,1250,1277,2550500,1277,1089.1,913.5,775.6,148.0,469.5,617.5,1209.5,1357.5,87.1
2017-08-01,1223,1231,1123,1137,1213600,1137,1116.9,926.5,779.7,152.9,467.9,620.8,1232.2,1385.1,88.5
2017-08-02,1160,1232,1159,1210,749600,1210,1146.1,942.4,784.8,161.0,459.5,620.5,1264.3,1425.3,89.4
2017-08-03,1203,1208,1136,1159,321700,1159,1166.2,956.0,789.3,164.4,462.7,627.2,1284.8,1449.3,90.8
2017-08-04,1180,1210,1161,1198,388600,1198,1196.0,970.6,794.4,169.2,463.0,632.2,1309.0,1478.2,93.0
2017-08-07,1210,1285,1200,1230,1015600,1230,1211.0,987.2,799.7,173.6,466.5,640.1,1334.3,1507.9,93.0
2017-08-08,1221,1290,1202,1280,697200,1280,1214.8,1005.7,805.6,179.3,467.7,647.0,1364.4,1543.7,94.1
2017-08-09,1356,1426,1300,1302,3008200,1302,1224.1,1024.9,812.1,184.5,471.5,655.9,1393.9,1578.3,94.8
2017-08-10,1284,1340,1214,1275,933800,1275,1223.9,1043.5,818.4,185.3,487.5,672.8,1414.2,1599.5,94.2
2017-08-17,1400,1553,1377,1550,2411900,1550,1275.5,1073.1,827.7,204.6,459.3,663.9,1482.3,1686.9,94.3
2017-08-18,1495,1570,1480,1518,1729200,1518,1314.0,1101.8,836.8,214.9,457.2,672.1,1531.5,1746.4,94.2
2017-08-21,1518,1570,1440,1540,1053900,1540,1361.6,1130.6,846.2,223.5,460.1,683.6,1577.6,1801.1,94.1
2017-08-22,1570,1799,1551,1740,4363500,1740,1429.4,1167.1,857.8,245.4,430.8,676.2,1658.0,1903.4,94.1
2017-08-23,1799,1848,1717,1755,2869400,1755,1495.0,1203.7,869.4,262.3,416.9,679.1,1728.3,1990.5,94.2
2017-08-24,1699,1723,1663,1687,1361800,1687,1545.9,1237.8,880.2,267.6,435.1,702.7,1772.9,2040.5,93.9
2017-08-25,1621,1657,1553,1578,1322200,1578,1580.4,1267.1,889.6,263.0,478.2,741.2,1793.0,2056.0,93.5
2017-08-28,1598,1614,1503,1523,1048500,1523,1611.4,1291.7,898.6,256.6,521.9,778.5,1804.9,2061.5,91.8
2017-08-29,1507,1620,1506,1601,912500,1601,1617.8,1319.8,908.6,250.1,569.5,819.6,1820.0,2070.1,90.9
2017-08-30,1601,1646,1572,1618,484000,1618,1630.2,1348.0,918.7,242.1,621.8,863.9,1832.1,2074.2,89.8
2017-08-31,1648,1740,1636,1736,1224300,1736,1654.8,1378.4,930.3,241.1,655.0,896.1,1860.7,2101.8,88.9
2017-09-01,1730,1747,1673,1693,699400,1693,1648.9,1406.2,941.4,235.5,699.8,935.3,1877.1,2112.6,87.8
2017-09-04,1640,1669,1589,1655,513100,1655,1636.4,1434.0,952.2,221.2,770.5,991.7,1876.3,2097.5,85.7
2017-09-05,1655,1707,1493,1540,760900,1540,1618.0,1451.2,961.9,211.4,816.9,1028.3,1874.1,2085.5,80.1
2017-09-06,1490,1679,1480,1657,797500,1657,1627.9,1467.4,973.2,211.0,834.5,1045.5,1889.3,2100.3,79.2
2017-09-07,1690,1780,1655,1677,1532800,1677,1647.1,1485.4,984.7,208.8,859.0,1067.8,1903.0,2111.8,77.1
2017-09-08,1690,1739,1653,1737,864600,1737,1664.1,1503.8,996.8,209.9,874.0,1084.0,1923.6,2133.6,76.9
2017-09-11,1840,2135,1825,2034,5883800,2034,1716.1,1539.7,1012.2,221.0,876.8,1097.8,1981.6,2202.6,76.9
2017-09-12,2134,2534,2130,2534,8770700,2534,1815.9,1592.7,1033.1,287.3,730.7,1018.0,2167.4,2454.7,77.2
2017-09-13,2499,2544,2336,2400,7888800,2400,1904.2,1642.3,1052.6,315.2,696.8,1012.0,2272.6,2587.8,77.1
2017-09-14,2300,2376,2066,2168,2857000,2168,1968.4,1681.1,1069.4,317.9,727.5,1045.4,2316.8,2634.7,76.8
2017-09-15,2105,2443,2105,2347,3214400,2347,2069.2,1725.8,1088.1,330.1,735.5,1065.6,2386.0,2716.1,76.5
2017-09-19,2497,2543,2402,2407,2146000,2407,2163.0,1770.9,1107.6,343.4,740.8,1084.2,2457.6,2801.0,76.3
2017-09-20,2327,2449,2301,2344,1040700,2344,2246.4,1812.6,1126.3,347.3,770.7,1118.0,2507.2,2854.5,75.5
2017-09-21,2344,2417,2305,2310,746500,2310,2318.0,1854.0,1144.4,342.2,827.4,1169.6,2538.4,2880.6,74.2
2017-09-22,2335,2337,2125,2219,1054800,2219,2341.1,1880.7,1161.6,343.6,849.9,1193.5,2567.9,2911.5,74.2
2017-09-25,2201,2268,2180,2206,508300,2206,2300.1,1908.2,1178.7,340.9,885.6,1226.5,2589.9,2930.8,71.8
2017-09-26,2200,2200,2040,2075,859300,2075,2259.5,1929.6,1194.3,333.5,929.1,1262.6,2596.6,2930.1,69.6
2017-09-27,2160,2319,2155,2226,1618600,2226,2266.8,1949.1,1211.6,336.1,940.7,1276.8,2621.4,2957.5,73.4
2017-09-28,2270,2340,2261,2313,1095400,2313,2262.5,1971.4,1229.8,341.2,947.8,1289.0,2653.8,2995.0,76.2
2017-09-29,2349,2415,2330,2332,893800,2332,2253.1,1997.2,1247.8,343.2,967.7,1310.8,2683.6,3026.7,75.9
2017-10-02,2360,2407,2278,2305,602800,2305,2248.2,2026.3,1265.6,336.9,1015.5,1352.4,2700.2,3037.1,71.8
