0,1d2a,20180202,1840,,,,
301,3116,東証1部,トヨタ紡織(株),2421,1.81,43,1011800
302,6082,東証1部,(株)ライドオンエクスプレスホールディングス,1075,1.80,19,106500
303,9830,東証1部,トラスコ中山(株),3385,1.80,60,151200
304,2715,東証1部,エレマテック(株),2610,1.79,46,39000
305,3435,東証2部,サンコーテクノ(株),1425,1.79,25,3200
306,3727,マザーズ,(株)アプリックス,456,1.79,8,77200
307,4343,東証1部,(株)イオンファンタジー,5700,1.79,100,67200
308,1690,東証ETF,ETFS WTI原油上場投資信託,1029,1.78,18,2270
309,4320,東証1部,(株)ＣＥホールディングス,915,1.78,16,50700
310,4331,東証1部,(株)テイクアンドギヴ・ニーズ,1199,1.78,21,293200
311,4990,東証2部,昭和化学工業(株),459,1.77,8,4600
312,8359,東証1部,(株)八十二銀行,691,1.77,12,2210300
313,2373,東証JQS,(株)ケア２１,3765,1.76,65,1500
314,3125,東証2部,新内外綿(株),1038,1.76,18,4600
315,2049,東証ETF,NEXT NOTES S&P500 VIX インバースETN,34900,1.75,600,31176
316,8425,東証1部,興銀リース(株),2967,1.75,51,112500
317,9697,東証1部,(株)カプコン,4080,1.75,70,892500
318,2183,東証1部,(株)リニカル,1641,1.74,28,125800
319,8972,東証,ケネディクス・オフィス投資法人,701000,1.74,12000,1890
320,9787,東証1部,イオンディライト(株),4090,1.74,70,109300
321,2034,東証ETF,NEXT NOTES 韓国KOSPI･ベアETN,9450,1.72,160,309
322,6591,東証2部,西芝電機(株),177,1.72,3,104600
323,7455,東証1部,(株)三城ホールディングス,533,1.72,9,104000
324,7958,東証1部,天馬(株),2251,1.72,38,33400
325,2120,東証1部,(株)ＬＩＦＵＬＬ,957,1.70,16,427600
326,4777,東証JQS,(株)ガーラ,419,1.70,7,2193100
327,1629,東証ETF,(NEXT FUNDS)商社･卸売上場投信,36100,1.69,600,24
328,5970,東証1部,(株)ジーテクト,2341,1.69,39,45000
329,7244,東証1部,市光工業(株),1080,1.69,18,433700
330,7624,東証JQS,(株)ＮａＩＴＯ,422,1.69,7,702900
331,8369,東証1部,(株)京都銀行,6610,1.69,110,501800
332,9799,東証2部,旭情報サービス(株),1383,1.69,23,10000
333,7220,東証1部,武蔵精密工業(株),3625,1.68,60,186200
334,7299,東証2部,フジオーゼックス(株),6650,1.68,110,1900
335,9044,東証1部,南海電気鉄道(株),2904,1.68,48,187200
336,1357,東証ETF,(NEXT FUNDS) 日経ダブルインバース上場投信,1218,1.67,20,33195389
337,3267,マザーズ,(株)フィル・カンパニー,8510,1.67,140,642200
338,7605,東証1部,(株)フジ・コーポレーション,2678,1.67,44,35500
339,8078,東証1部,阪和興業(株),5480,1.67,90,134400
340,6180,マザーズ,ＧＭＯメディア(株),2877,1.66,47,5300
341,6923,東証1部,スタンレー電気(株),4580,1.66,75,533000
342,4968,東証1部,荒川化学工業(株),2293,1.64,37,191300
343,7480,東証1部,スズデン(株),1855,1.64,30,19100
344,1950,東証1部,日本電設工業(株),2312,1.63,37,119100
345,8929,東証2部,(株)青山財産ネットワークス,1750,1.63,28,37200
346,3375,東証JQS,(株)ＺＯＡ,939,1.62,15,700
347,4514,東証1部,あすか製薬(株),2196,1.62,35,67800
348,5301,東証1部,東海カーボン(株),1628,1.62,26,4577900
349,5753,東証2部,日本伸銅(株),2630,1.62,42,9500
350,9793,東証1部,(株)ダイセキ,3450,1.62,55,166800
351,3469,東証JQS,(株)デュアルタップ,3785,1.61,60,24100
352,4927,東証1部,(株)ポーラ・オルビスホールディングス,4450,1.60,70,631600
353,6755,東証1部,(株)富士通ゼネラル,2224,1.60,35,937700
354,7837,東証JQS,(株)アールシーコア,1268,1.60,20,3500
355,3803,東証JQG,イメージ情報開発(株),893,1.59,14,1900
356,4684,東証1部,(株)オービック,8930,1.59,140,210400
357,5998,東証1部,(株)アドバネクス,4160,1.59,65,20300
358,2791,東証1部,大黒天物産(株),5130,1.58,80,10800
359,3001,東証1部,片倉工業(株),1476,1.58,23,57100
360,4553,東証1部,東和薬品(株),6430,1.58,100,39700
361,9062,東証1部,日本通運(株),7700,1.58,120,287000
362,9600,東証1部,(株)アイネット,1798,1.58,28,54100
363,9992,東証JQS,(株)理研グリーン,513,1.58,8,6800
364,3741,東証1部,(株)セック,3235,1.57,50,59100
365,9731,東証1部,(株)白洋舍,4200,1.57,65,4400
366,2767,東証1部,フィールズ(株),1238,1.56,19,129300
367,3521,東証1部,エコナックホールディングス(株),130,1.56,2,664700
368,5217,東証JQS,テクノクオーツ(株),12340,1.56,190,1900
369,2388,東証JQG,(株)ウェッジホールディングス,328,1.55,5,211800
370,4970,東証JQS,東洋合成工業(株),2100,1.55,32,97600
371,5384,東証1部,(株)フジミインコーポレーテッド,2549,1.55,39,278200
372,3315,東証1部,日本コークス工業(株),132,1.54,2,2242800
373,5912,東証1部,ＯＳＪＢホールディングス(株),329,1.54,5,1096600
374,6391,東証2部,(株)加地テック,2902,1.54,44,3000
375,5742,東証JQS,エヌアイシ・オートテック(株),2250,1.53,34,31900
376,7148,東証1部,(株)ＦＰＧ,1527,1.53,23,1470000
377,8143,東証2部,(株)ラピーヌ,927,1.53,14,10900
378,9533,東証1部,東邦ガス(株),3310,1.53,50,248900
379,9644,東証1部,(株)タナベ経営,1854,1.53,28,13200
380,9902,東証1部,(株)日伝,2317,1.53,35,26200
381,1968,東証1部,太平電業(株),2932,1.52,44,73600
382,3460,東証,ジャパン・シニアリビング投資法人,160200,1.52,2400,317
383,4924,東証1部,(株)シーズ・ホールディングス,6000,1.52,90,138600
384,7860,東証1部,エイベックス(株),1674,1.52,25,339600
385,2816,東証2部,(株)ダイショー,1412,1.51,21,5800
386,6395,東証1部,(株)タダノ,1879,1.51,28,1217000
387,3946,東証1部,(株)トーモク,2255,1.49,33,17900
388,6028,東証1部,テクノプロ・ホールディングス(株),6150,1.49,90,121300
389,6503,東証1部,三菱電機(株),2049.5,1.49,30,10760300
390,5992,東証1部,中央発條(株),3775,1.48,55,8700
391,2413,東証1部,エムスリー(株),4150,1.47,60,1064100
392,8141,東証1部,新光商事(株),2064,1.47,30,79200
393,8251,東証1部,(株)パルコ,1589,1.47,23,59900
394,4839,東証1部,(株)ＷＯＷＯＷ,3485,1.46,50,35900
395,7175,東証JQS,今村証券(株),1940,1.46,28,3500
396,7871,東証2部,フクビ化学工業(株),832,1.46,12,28400
397,1695,東証ETF,ETFS 小麦上場投資信託,70,1.45,1,113600
398,2875,東証1部,東洋水産(株),4545,1.45,65,409800
399,3417,東証JQS,大木ヘルスケアホールディングス(株),1820,1.45,26,57500
400,7313,東証1部,テイ・エス　テック(株),4555,1.45,65,245300
401,1366,東証ETF,ダイワ 上場投信-日経平均ダブルインバース,3170,1.44,45,201886
402,2282,東証1部,日本ハム(株),2679,1.44,38,2397000
403,3278,東証,ケネディクス・レジデンシャル投資法人,316500,1.44,4500,797
404,4952,東証2部,(株)エス・ディー・エス　バイオテック,983,1.44,14,6900
405,5287,東証2部,(株)イトーヨーギョー,1194,1.44,17,18800
406,6490,東証1部,日本ピラー工業(株),1966,1.44,28,167300
407,9104,東証1部,(株)商船三井,3880,1.44,55,1296900
408,3593,東証1部,(株)ホギメディカル,8490,1.43,120,51100
409,6566,東証2部,(株)要興業,1136,1.43,16,152800
410,4926,東証1部,(株)シーボン,3580,1.42,50,6800
411,5262,東証1部,日本ヒューム(株),856,1.42,12,108900
412,7879,東証2部,(株)ノダ,1501,1.42,21,18700
413,4366,東証2部,ダイトーケミックス(株),798,1.40,11,75500
