Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
4062,イビデン　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.01,1418010,2018-08-07 00:00:00,0.011000000000000001
4082,第一稀元素化学工業　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0054,132300,2018-08-07 00:00:00,0.0070999999999999995
4098,チタン工業　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0059,18000,2018-08-07 00:00:00,0.0059
4109,ステラ　ケミファ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0069,91567,2018-08-07 00:00:00,0.006999999999999999
4109,ステラ　ケミファ　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0043,57362,2018-08-03 00:00:00,0.005
4109,ステラ　ケミファ　普通株式,Nomura International plc,2018-08-08,0.001,14300,2018-08-06 00:00:00,0.005600000000000001
4109,ステラ　ケミファ　普通株式,UBS AG,2018-08-08,0.0079,104500,2018-08-01 00:00:00,0.0092
4222,児玉化学工業　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0124,462000,2018-08-07 00:00:00,0.0124
4235,ウルトラファブリックス・ホールディングス　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0059,40700,2018-07-24 00:00:00,0.0069
4235,ウルトラファブリックス・ホールディングス　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0049,33500,2018-08-07 00:00:00,0.005
4284,ソルクシーズ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0084,112900,2018-07-31 00:00:00,0.0091
4287,ジャストプランニング　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.008,101400,2018-08-07 00:00:00,0.0034999999999999996
4287,ジャストプランニング　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0059,75600,2018-08-07 00:00:00,0.0097
4287,ジャストプランニング　普通株式,UBS AG,2018-08-08,0.0107,136700,2018-08-07 00:00:00,0.0117
4293,セプテーニ・ホールディングス　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0079,1105425,2018-08-06 00:00:00,0.009899999999999999
4316,ビーマップ　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0076,24500,2018-08-07 00:00:00,0.0076
4331,テイクアンドギヴ・ニーズ　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.011200000000000002,146980,2018-08-06 00:00:00,0.0102
4331,テイクアンドギヴ・ニーズ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0070999999999999995,93210,2018-07-26 00:00:00,0.0063
4331,テイクアンドギヴ・ニーズ　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.013000000000000001,170513,2018-08-08 00:00:00,0.0128
4344,ソースネクスト　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.019799999999999998,1329700,2018-08-06 00:00:00,0.0208
4344,ソースネクスト　普通株式,Nomura International plc,2018-08-08,0.0182,1225800,2018-08-03 00:00:00,0.019799999999999998
4344,ソースネクスト　普通株式,UBS AG,2018-08-08,0.0068,457600,2018-08-07 00:00:00,0.0067
4369,トリケミカル研究所　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0078000000000000005,61500,2018-06-13 00:00:00,0.008199999999999999
4461,第一工業製薬　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0073,391000,2018-07-20 00:00:00,0.006500000000000001
4502,武田薬品工業　普通株式,Societe Generale,2018-08-08,0.0063,5085992,2018-08-07 00:00:00,0.0069
4502,武田薬品工業　普通株式,Societe Generale,2018-08-09,0.0064,5090533,2018-08-08 00:00:00,0.0063
4544,みらかホールディングス　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0063,365627,2018-08-06 00:00:00,0.0053
4563,アンジェス　普通株式,Nomura International plc,2018-08-08,0.0032,281800,2018-08-06 00:00:00,0.005600000000000001
