区分,学生番号,枝番,日付,時刻,端末番号
01,232C1125,1,20231108,125540,029
01,232C1067,1,20231108,124905,029
01,232C1171,1,20231108,125009,029
01,232C1149,1,20231108,125114,029
01,232C1175,1,20231108,125120,029
01,232C1153,1,20231108,125123,029
01,212C1109,1,20231108,125140,029
01,232C1135,1,20231108,125155,029
01,232C1031,1,20231108,125258,029
01,232C1159,1,20231108,125407,029
02,236E0012,1,20231109,161532,029
02,236E0021,1,20231109,161536,029
01,232C1019,1,20231110,125149,029
01,232C1029,1,20231110,125018,029
01,232C1081,1,20231110,125126,029
01,232C1163,1,20231110,125216,029
01,232C1037,1,20231110,125521,029
01,232C1129,1,20231110,130029,029
01,232C1159,1,20231110,130745,029
01,232C1033,1,20231110,125020,029
01,232C1117,1,20231110,125048,029
01,232C1009,1,20231110,125050,029
01,232C1161,1,20231110,125140,029
01,232C1031,1,20231110,125531,029
01,232C1089,1,20231110,125817,029
01,232C1131,1,20231110,125929,029
01,232C1135,1,20231110,125030,029
01,232C1009,1,20231110,125053,029
01,232C1087,1,20231110,125201,029
01,232C1179,1,20231110,125022,029
01,232C1035,1,20231110,125158,029
01,232C1143,1,20231110,125630,029
01,232C1025,1,20231110,125916,029
01,222C2040,1,20231111,143153,029
01,222C2083,1,20231113,124919,029
01,222C2030,1,20231113,124930,029
01,222C2062,1,20231113,125937,029
01,222C2056,1,20231113,124629,029
01,222C2024,1,20231113,125402,029
01,222C2084,1,20231113,124650,029
01,212C2033,1,20231113,130520,029
01,222C2100,1,20231113,124858,029
01,222C2089,1,20231113,125154,029
02,236E0021,1,20231114,125433,029
02,236E0012,1,20231114,125216,029
01,222C2063,1,20231115,102010,029
01,222C2105,1,20231115,102014,029
01,222C2083,1,20231115,102617,029
01,222C2052,1,20231115,102012,029
01,222C2084,1,20231115,102129,029
01,222C2014,1,20231115,102207,029
01,222C2089,1,20231115,102302,029
01,222C2007,1,20231115,102427,029
01,212C2018,1,20231115,102627,029
01,222C2096,1,20231115,102724,029
01,222C2024,1,20231115,102727,029
01,222C2088,1,20231115,102016,029
01,222C2056,1,20231115,102244,029
01,222C2087,1,20231115,102007,029
01,222C2071,1,20231115,102142,029
01,222C2011,1,20231115,102349,029
01,222C2100,1,20231115,102406,029
01,212C2033,1,20231115,102745,029
01,222C2009,2,20231115,102822,029
01,222C2075,1,20231115,102832,029
01,232C1135,1,20231115,125100,029
01,232C1149,1,20231115,125228,029
01,232C1067,1,20231115,125232,029
01,232C1159,1,20231115,130259,029
01,232C1163,1,20231115,125105,029
01,232C1073,1,20231115,125107,029
01,232C1101,2,20231115,125135,029
01,232C1009,1,20231115,125137,029
01,232C1175,1,20231115,125139,029
01,232C1035,1,20231115,125142,029
01,232C1161,1,20231115,125151,029
01,232C1037,1,20231115,125240,029
01,232C1043,1,20231115,125243,029
01,232C1083,1,20231115,125245,029
01,232C1015,1,20231115,125249,029
01,232C1091,1,20231115,125320,029
01,232C1125,1,20231115,125048,029
01,232C1165,1,20231115,125051,029
01,232C1093,1,20231115,125057,029
01,232C1109,1,20231115,125132,029
01,232C1157,1,20231115,125145,029
01,232C1143,1,20231115,125154,029
01,232C1087,1,20231115,125217,029
01,232C1031,1,20231115,125225,029
01,232C1049,1,20231115,125254,029
02,236E0021,1,20231116,161703,029
02,236E0014,1,20231116,161218,029
02,236E0021,1,20231116,161742,029
02,236E0012,1,20231116,161748,029
01,232C1091,1,20231117,125154,029
01,232C1051,1,20231117,125213,029
01,232C1143,1,20231117,125218,029
01,232C1067,1,20231117,125319,029
01,232C1157,1,20231117,125412,029
01,232C1161,1,20231117,125459,029
01,232C1087,1,20231117,125511,029
01,232C1129,1,20231117,125211,029
01,232C1099,1,20231117,125216,029
01,232C1017,1,20231117,125209,029
01,232C1163,1,20231117,125256,029
01,232C1153,1,20231117,125304,029
01,232C1035,1,20231117,125322,029
01,232C1175,1,20231117,125428,029
01,232C1087,1,20231117,125515,029
01,232C1125,1,20231117,125624,029
01,232C1135,1,20231117,125238,029
01,232C1037,1,20231117,125240,029
01,232C1065,1,20231117,125243,029
01,232C1013,1,20231117,125205,029
01,232C1011,1,20231117,125433,029
01,232C1031,1,20231117,125559,029
01,232C1159,1,20231117,130929,029
01,232C1019,1,20231117,125245,029
01,232C1165,1,20231117,125627,029
