date,code,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2016-07-25,998405,1330.59,1339.06,1324.12,1325.36,1322.9,1272.2,1281.1,1318.5,1334.8,45.0,1137.2,1182.2,1362.2,1407.2,85.7
2016-07-26,998405,1316.98,1317.34,1302.63,1306.94,1323.7,1277.1,1280.1,1317.7,1334.6,42.8,1148.7,1191.5,1362.7,1405.5,82.1
2016-07-27,998405,1316.53,1331.29,1313.72,1321.67,1325.0,1281.6,1279.3,1317.3,1334.5,42.2,1155.1,1197.3,1365.9,1408.1,80.8
2016-07-28,998405,1313.76,1316.37,1303.73,1307.0,1323.8,1285.6,1278.4,1316.7,1334.3,40.4,1164.4,1204.8,1366.4,1406.8,76.2
2016-07-29,998405,1303.69,1323.99,1288.88,1322.74,1322.7,1289.1,1278.1,1316.5,1334.2,40.2,1168.5,1208.7,1369.5,1409.7,74.8
2016-08-01,998405,1308.3,1325.24,1299.07,1321.83,1321.6,1292.8,1279.2,1315.9,1334.1,39.5,1174.2,1213.8,1371.8,1411.4,72.1
2016-08-02,998405,1308.74,1312.94,1300.2,1300.2,1316.7,1294.9,1280.1,1315.2,1333.9,38.5,1179.3,1217.8,1372.0,1410.5,61.8
2016-08-03,998405,1282.43,1284.27,1269.77,1271.98,1309.7,1295.4,1279.9,1314.3,1333.4,38.2,1180.9,1219.0,1371.8,1409.9,48.2
2016-08-04,998405,1276.69,1284.66,1262.86,1282.99,1304.4,1296.7,1281.1,1313.3,1333.1,37.3,1184.9,1222.2,1371.2,1408.5,31.9
2016-08-05,998405,1285.2,1289.64,1278.12,1279.9,1301.0,1298.8,1282.0,1312.2,1332.7,34.7,1194.8,1229.4,1368.2,1402.8,12.7
2016-08-08,998405,1295.61,1305.53,1294.23,1305.53,1299.0,1302.6,1282.8,1311.4,1332.5,30.4,1211.3,1241.8,1363.4,1393.9,-3.5
2016-08-09,998405,1305.27,1317.87,1304.79,1317.49,1300.3,1307.7,1283.5,1311.0,1332.4,21.9,1242.1,1263.9,1351.5,1373.3,-14.8
2016-08-10,998405,1311.98,1318.99,1308.4,1314.83,1299.3,1310.6,1284.3,1310.6,1332.3,18.4,1255.5,1273.8,1347.4,1365.7,-29.5
2016-08-12,998405,1325.32,1325.57,1318.69,1323.22,1299.5,1312.3,1285.1,1310.8,1332.3,17.7,1259.3,1277.0,1347.6,1365.3,-33.0
2016-08-15,998405,1319.07,1322.99,1315.92,1316.63,1301.6,1313.1,1288.4,1311.0,1332.2,17.5,1260.7,1278.2,1348.0,1365.5,-42.9
2016-08-16,998405,1318.52,1319.09,1298.47,1298.47,1304.9,1312.5,1290.5,1311.3,1331.9,17.7,1259.3,1277.0,1348.0,1365.7,-56.2
2016-08-17,998405,1297.4,1312.87,1297.14,1311.13,1308.4,1312.2,1293.1,1311.8,1331.8,17.7,1259.1,1276.8,1347.6,1365.3,-57.0
2016-08-18,998405,1302.29,1306.37,1290.74,1290.79,1309.8,1310.3,1294.3,1312.0,1331.5,17.7,1257.1,1274.8,1345.8,1363.5,-53.8
2016-08-19,998405,1296.26,1300.03,1288.6,1295.67,1308.5,1308.6,1295.8,1312.1,1331.3,17.4,1256.5,1273.9,1343.3,1360.7,-49.9
2016-08-22,998405,1300.35,1304.84,1296.25,1303.68,1306.8,1306.9,1297.2,1312.4,1331.1,15.9,1259.3,1275.1,1338.7,1354.5,-43.0
2016-08-23,998405,1299.72,1307.61,1292.85,1297.56,1304.6,1305.5,1298.3,1312.4,1330.9,15.3,1259.7,1274.9,1336.1,1351.3,-37.7
2016-08-24,998405,1305.35,1310.57,1302.6,1306.71,1302.6,1304.6,1299.8,1312.1,1330.8,14.6,1260.8,1275.4,1333.8,1348.4,-27.1
2016-08-25,998405,1306.43,1307.6,1301.79,1304.27,1301.0,1304.5,1301.8,1311.3,1330.6,14.6,1260.8,1275.3,1333.7,1348.2,-26.1
2016-08-26,998405,1299.32,1299.32,1287.9,1287.9,1299.7,1302.9,1303.6,1310.5,1330.3,14.5,1259.5,1274.0,1331.8,1346.3,-22.3
2016-08-29,998405,1309.17,1316.39,1307.88,1313.24,1300.0,1303.2,1306.7,1310.4,1330.2,14.6,1259.4,1274.0,1332.4,1347.0,-13.1
2016-08-30,998405,1310.09,1315.46,1308.39,1312.81,1302.7,1302.7,1308.3,1309.8,1330.1,14.1,1260.4,1274.5,1330.9,1345.0,3.8
2016-08-31,998405,1323.89,1331.0,1322.68,1329.54,1307.0,1303.1,1309.6,1309.4,1330.1,14.7,1259.0,1273.7,1332.5,1347.2,30.0
