date,open,high,low,close,volume,adj.close,sma 5,sma 25,sma 50,stddev,-3s,-2s,+2s,+3s,RCI,RCI
2017/7/7,653,659,651,657,17600,657,667,688.2,618.7,38.3,573.2,611.6,764.8,803.2,500.2,0.2
2017/7/10,666,682,656,672,23500,672,664,690.9,621.9,34.4,587.7,622.1,759.7,794.1,486.7,-13.3
2017/7/11,662,677,662,675,20300,675,666.6,691.3,625.3,34.1,588.9,623,759.6,793.7,479.2,-20.8
2017/7/13,670,674,659,661,25700,661,664.8,689.6,628.3,34.6,585.9,620.5,758.7,793.3,480.2,-19.8
2017/7/14,662,669,657,658,9900,658,664.6,690.2,631.3,33.7,589,622.8,757.6,791.4,460.8,-39.2
2017/7/18,658,658,636,636,30300,636,660.4,688.9,633.9,35.2,583.2,618.5,759.3,794.6,448.3,-51.7
2017/7/19,622,645,620,641,29500,641,654.2,688.3,636.5,35.9,580.6,616.5,760.1,796,427.2,-72.8
2017/7/20,640,648,630,644,10500,644,648,688.2,639.1,36,580.1,616.1,760.3,796.3,408,-92
2017/7/21,644,653,635,645,15800,645,644.8,683.7,641.6,33.9,581.9,615.8,751.6,785.5,408.5,-91.5
2017/7/24,645,648,640,644,13400,644,642,679.4,644.1,31.9,583.8,615.7,743.1,775,409,-91
2017/7/25,645,655,645,652,13700,652,645.2,676.5,646.7,30.9,583.9,614.8,738.2,769.1,409.5,-90.5
2017/7/26,658,671,646,655,34300,655,648,675.1,649.3,31,582.1,613.1,737.1,768.1,409.5,-90.5
2017/7/27,647,668,647,665,23500,665,652.2,672,652.1,27.6,589.2,616.8,727.2,754.8,417.4,-82.6
2017/7/28,666,692,656,672,54000,672,657.6,669,654.9,23,599.9,622.9,715.1,738.1,427.6,-72.4
2017/7/31,717,718,675,682,108000,682,665.2,667.2,656.8,19.6,608.4,628,706.4,726,441,-59
2017/8/1,690,690,633,640,74100,640,662.8,664.7,658.2,18.9,607.9,626.9,702.5,721.5,441.7,-58.3
2017/8/2,640,660,625,657,29500,657,663.2,662.6,659.8,16.4,613.3,629.7,695.5,711.9,446.1,-53.9
2017/8/3,648,679,642,679,37600,679,666,661.9,661.7,15.3,616,631.3,692.5,707.8,463.8,-36.2
2017/8/4,679,679,662,668,26600,668,665.2,662.1,663.3,15.4,616,631.4,692.8,708.2,468.2,-31.8
2017/8/7,665,673,659,660,14600,660,660.8,661.1,664.9,14.7,617.1,631.8,690.4,705.1,478.5,-21.5
2017/8/8,654,658,641,646,20100,646,662,659.5,666,13.9,617.7,631.6,687.4,701.3,483.9,-16.1
2017/8/9,649,649,629,635,25700,635,657.6,657.4,667,13.5,616.8,630.4,684.4,698,483.9,-16.1
2017/8/10,631,640,627,631,14200,631,648,656.2,668.1,14.5,612.8,627.3,685.1,699.6,476.3,-23.7
2017/8/17,634,657,634,645,15500,645,643.4,655.2,669.4,14.3,612.2,626.5,683.9,698.2,477.8,-22.2
2017/8/18,635,641,630,634,10400,634,638.2,654.2,670.3,14.9,609.4,624.4,684,699,469.6,-30.4
2017/8/21,654,657,635,639,30100,639,636.8,653.4,670.8,15.2,607.8,623,683.8,699,463.8,-36.2
2017/8/22,639,695,636,690,204300,690,647.8,654.2,672.5,16.5,604.7,621.2,687.2,703.7,484.6,-15.4
2017/8/23,715,722,692,695,204600,695,660.6,655,673.1,18,601.1,619.1,690.9,708.9,503.8,3.8
2017/8/24,692,699,663,676,73600,676,666.8,655.6,672.6,18.4,600.3,618.8,692.4,710.9,516.5,16.5
2017/8/25,676,715,676,709,68700,709,681.8,657.6,673.9,21.3,593.7,615,700.2,721.5,529,29
2017/8/28,720,722,704,714,75700,714,696.8,660.7,674.8,23.6,589.9,613.5,707.9,731.5,533,33
2017/8/29,702,735,698,725,81600,725,703.8,664.1,676.2,26.5,584.7,611.1,717.1,743.5,538.9,38.9
2017/8/30,725,728,706,715,46700,715,707.8,666.9,677.6,28,582.9,610.9,722.9,750.9,544.5,44.5
