code,date,open,high,low,close,volume,adj_close
5301,2017/05/11,587,595,576,590,2925300,590
5301,2017/05/12,585,593,580,585,3032700,585
5301,2017/05/15,571,573,556,566,1725100,566
5301,2017/05/16,573,577,554,558,1985500,558
5301,2017/05/17,556,559,548,557,1302400,557
5301,2017/05/18,547,551,537,547,1472400,547
5301,2017/05/19,551,564,551,562,1855700,562
5301,2017/05/22,563,566,555,559,1010500,559
5301,2017/05/23,557,560,550,550,861700,550
5301,2017/05/24,560,574,559,568,1714500,568
5301,2017/05/25,566,566,551,552,1731300,552
5301,2017/05/26,552,553,545,550,1282700,550
5301,2017/05/29,554,555,546,547,892900,547
5301,2017/05/30,545,549,539,548,679200,548
5301,2017/05/31,553,577,550,568,2640800,568
5301,2017/06/01,573,586,572,573,2186900,573
5301,2017/06/02,580,590,575,581,1892400,581
5301,2017/06/05,580,585,573,581,1185900,581
5301,2017/06/06,586,599,582,588,2701000,588
5301,2017/06/07,594,594,582,590,1250100,590
5301,2017/06/08,595,616,595,599,3010700,599
5301,2017/06/09,631,671,631,650,5658100,650
5301,2017/06/12,653,662,645,656,2370900,656
5301,2017/06/13,644,653,642,649,1290800,649
5301,2017/06/14,650,655,639,641,1748700,641
5301,2017/06/15,631,640,625,628,1409300,628
5301,2017/06/16,628,635,626,630,1994300,630
5301,2017/06/19,632,637,625,634,919300,634
5301,2017/06/20,643,654,642,651,1658200,651
5301,2017/06/21,650,650,636,637,1067400,637
5301,2017/06/22,636,638,623,624,1509000,624
5301,2017/06/23,626,628,619,621,1451700,621
5301,2017/06/26,624,625,616,620,929200,620
5301,2017/06/27,628,634,622,631,1403300,631
5301,2017/06/28,628,634,621,633,1745300,633
5301,2017/06/29,638,642,632,636,1206400,636
5301,2017/06/30,620,623,616,621,1847700,621
5301,2017/07/03,624,640,617,638,2048600,638
5301,2017/07/04,646,647,602,604,2800000,604
5301,2017/07/05,605,629,603,627,1989300,627
5301,2017/07/06,626,637,621,626,1334700,626
5301,2017/07/07,620,648,617,646,2651400,646
5301,2017/07/10,652,664,642,659,2488000,659
5301,2017/07/11,659,668,652,660,1668200,660
5301,2017/07/12,661,662,647,650,1117500,650
5301,2017/07/13,650,654,639,652,1458300,652
5301,2017/07/14,658,692,655,690,3768300,690
5301,2017/07/18,687,697,676,688,1877600,688
5301,2017/07/19,701,719,697,706,3245000,706
5301,2017/07/20,721,763,721,758,6367000,758
5301,2017/07/21,756,776,738,749,5660700,749
5301,2017/07/24,742,748,730,747,2553800,747
5301,2017/07/25,759,764,744,745,2227400,745
5301,2017/07/26,754,757,725,729,2713500,729
5301,2017/07/27,731,733,716,721,2683200,721
5301,2017/07/28,719,724,708,716,3272600,716
5301,2017/07/31,713,720,706,715,1818400,715
5301,2017/08/01,745,746,691,722,4591800,722
5301,2017/08/02,716,759,702,750,4282600,750
5301,2017/08/03,730,743,705,727,3586100,727
5301,2017/08/04,721,721,702,712,2729400,712
5301,2017/08/07,716,722,707,721,1435400,721
5301,2017/08/08,714,718,709,715,1278900,715
5301,2017/08/09,709,712,700,703,1711200,703
5301,2017/08/10,712,743,707,736,3065000,736
5301,2017/08/14,722,726,704,706,2374100,706
5301,2017/08/15,713,729,711,724,2117700,724
5301,2017/08/16,726,738,725,728,1581600,728
5301,2017/08/17,728,736,722,733,1090900,733
5301,2017/08/18,718,746,712,733,3036900,733
5301,2017/08/21,735,736,719,723,1701400,723
5301,2017/08/22,722,722,704,706,2400000,706
5301,2017/08/23,721,742,715,742,3028000,742
5301,2017/08/24,736,755,735,743,3115700,743
5301,2017/08/25,745,748,732,743,1866900,743
5301,2017/08/28,751,766,744,765,3165100,765
5301,2017/08/29,756,780,753,778,3375300,778
5301,2017/08/30,786,816,785,797,4803400,797
5301,2017/08/31,800,808,788,794,3016900,794
5301,2017/09/01,801,801,778,784,2458100,784
5301,2017/09/04,784,785,769,779,1602500,779
5301,2017/09/05,789,795,769,770,2440100,770
5301,2017/09/06,767,796,761,796,2579100,796
5301,2017/09/07,792,805,783,796,2907700,796
5301,2017/09/08,805,822,802,815,3820200,815
5301,2017/09/11,825,825,811,817,1988200,817
5301,2017/09/12,829,838,825,826,1919500,826
5301,2017/09/13,850,871,846,849,2968000,849
5301,2017/09/14,851,858,828,834,2453600,834
5301,2017/09/15,839,879,822,878,4536300,878
5301,2017/09/19,893,904,878,900,4607400,900
5301,2017/09/20,896,899,886,891,2733800,891
5301,2017/09/21,898,899,885,891,2116900,891
5301,2017/09/22,891,892,850,852,3685500,852
5301,2017/09/25,865,874,852,856,2011100,856
